carat,x,y,z,price,color_,clarity_,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
1.51,7.17,7.2,4.51,7418,6,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.71,5.72,5.68,3.54,2327,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.75,5.92,5.81,3.62,1958,6,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.39,4.67,4.7,2.92,816,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.3,6.95,6.88,4.35,5671,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.02,6.41,6.44,4.02,4084,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.3,4.29,4.32,2.63,682,2,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.3,4.28,4.33,2.69,694,2,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.76,5.92,5.94,3.55,1949,6,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.44,4.88,4.84,3.03,1040,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9,6.25,6.22,3.79,3251,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.57,5.32,5.29,3.31,1949,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.51,5.05,5.12,3.18,1068,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.82,6.05,6.0,3.76,2617,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.41,4.78,4.82,2.96,1367,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.5,5.08,5.05,3.19,984,6,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.74,5.88,5.92,3.55,2530,4,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.32,4.37,4.35,2.72,554,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.52,5.22,5.25,3.17,1822,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.31,6.96,7.01,4.31,6263,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.02,6.39,6.31,3.87,4381,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.31,4.36,4.4,2.68,891,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.7,7.56,7.5,4.76,7730,6,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.51,7.4,7.36,4.52,11188,4,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.31,4.34,4.3,2.71,523,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.31,4.34,4.31,2.71,558,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.03,6.47,6.51,4.02,7697,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,4.29,4.31,2.64,670,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.08,6.62,6.58,4.07,5352,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,4.42,4.45,2.69,1068,2,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.58,5.4,5.42,3.29,2590,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.72,5.78,5.8,3.56,2526,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.91,6.18,6.14,3.91,4739,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.1,6.62,6.68,4.08,3623,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1.2,6.68,6.73,4.21,6526,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,6.36,6.34,3.98,4743,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.38,4.64,4.59,2.9,998,2,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.36,4.62,4.58,2.82,810,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.57,5.31,5.34,3.25,1754,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.22,6.8,6.84,4.25,8575,2,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.97,6.24,6.18,3.89,4400,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.1,6.57,6.62,4.09,11132,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.57,7.61,7.56,4.51,11113,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.51,5.1,5.03,3.18,1036,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.32,4.36,4.39,2.71,576,3,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.72,5.74,5.78,3.6,2586,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.63,7.64,7.58,4.64,11721,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.02,6.49,6.57,3.8,3940,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.15,6.74,6.67,4.2,5120,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.31,4.33,4.38,2.75,462,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.56,5.25,5.28,3.3,1753,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.12,6.65,6.68,4.12,5277,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.36,4.65,4.6,2.79,770,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.39,4.76,4.81,2.94,734,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.31,4.34,4.37,2.72,625,4,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.04,6.51,6.55,4.0,5495,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.33,4.49,4.46,2.74,743,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.91,6.14,6.17,3.85,4045,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.4,4.65,4.73,2.93,912,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.52,5.12,5.1,3.23,1577,3,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.51,5.07,5.1,3.23,1343,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.71,5.66,5.72,3.63,2606,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,6.56,6.5,3.86,4989,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.21,6.84,6.79,4.27,5184,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.01,6.31,6.37,3.95,4384,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.37,4.54,4.56,2.83,746,4,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.02,6.25,6.33,4.0,7682,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.01,6.41,6.34,3.99,5713,3,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.23,3.93,3.95,2.36,439,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.6,5.67,5.61,3.12,1367,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.4,4.75,4.81,2.96,1406,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.5,5.18,5.24,3.11,2219,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.41,4.78,4.81,2.98,777,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1.02,6.48,6.45,3.99,4113,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.5,5.05,5.08,3.18,1752,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.61,5.47,5.52,3.36,2243,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.7,5.66,5.68,3.55,3268,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,4.35,4.29,2.68,1008,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.75,5.84,5.81,3.59,2940,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.25,4.04,4.02,2.48,740,1,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.56,7.58,7.63,4.45,8048,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.44,4.9,4.92,3.0,810,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.91,6.17,6.23,3.84,5259,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.25,6.92,6.95,4.2,10962,3,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.73,5.68,5.71,3.62,2548,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.23,6.94,6.9,4.21,9471,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.42,4.84,4.85,2.99,885,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,5.59,5.64,3.52,2377,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.08,6.6,6.56,4.1,7917,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.33,4.52,4.49,2.75,950,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.37,4.64,4.67,2.86,1003,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.4,4.82,4.79,2.92,1125,4,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.56,5.29,5.26,3.27,1698,5,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.92,6.18,6.23,3.86,4562,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.47,6.98,6.94,4.64,4898,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.31,4.34,4.37,2.7,840,2,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.13,6.69,6.74,4.12,11115,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.23,6.91,6.93,4.2,6165,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.56,5.28,5.33,3.26,1963,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.5,7.33,7.39,4.49,12179,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9,6.06,6.11,3.87,3250,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.3,4.34,4.3,2.61,844,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.26,6.73,6.69,4.35,4551,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.9,6.16,6.18,3.84,5222,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.53,7.39,7.44,4.48,9332,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.72,5.77,5.8,3.57,2430,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.41,4.83,4.79,2.89,969,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,4.45,4.41,2.71,773,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.3,4.29,4.32,2.66,624,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.92,6.34,6.29,3.77,4721,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.31,4.35,4.37,2.66,680,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.5,5.02,4.96,3.14,1791,3,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.6,5.54,5.5,3.25,1341,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.5,5.06,4.98,3.17,1043,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.01,7.82,7.88,5.07,12681,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.35,4.54,4.58,2.8,706,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.5,5.03,5.07,3.15,1259,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.57,5.28,5.32,3.35,1902,2,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.91,6.45,6.38,3.72,3392,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.33,7.1,7.06,4.32,5437,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.33,4.4,4.45,2.75,723,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.55,5.24,5.28,3.28,2242,2,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.27,4.14,4.16,2.57,496,4,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.4,4.77,4.81,2.89,982,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.39,4.69,4.72,2.9,651,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.54,7.43,7.56,4.56,13735,2,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.55,5.32,5.29,3.2,1832,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.63,5.4,5.34,3.45,1240,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.51,5.11,5.09,3.18,1546,3,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.4,4.8,4.73,2.91,1039,2,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.9,6.34,6.37,3.66,3950,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.0,6.43,6.38,3.86,4704,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.41,4.85,4.82,2.89,969,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.59,5.52,5.48,3.23,1330,6,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.32,4.41,4.37,2.71,936,3,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,6.43,6.37,3.97,5292,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.42,4.8,4.86,2.94,1026,4,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.01,6.36,6.39,4.0,4843,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9,6.06,6.13,3.82,4540,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.65,7.56,7.66,4.72,12773,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.34,4.5,4.46,2.8,765,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.78,5.92,5.94,3.66,2947,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.01,6.6,6.57,3.85,4989,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.5,5.12,5.15,3.14,1555,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.53,7.39,7.32,4.55,16219,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9,6.22,6.17,3.75,4531,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.25,6.86,6.84,4.25,4200,6,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.69,5.58,5.64,3.42,2235,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.06,6.58,6.59,4.02,11209,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.38,4.62,4.65,2.84,700,5,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.5,5.13,5.16,3.12,1202,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.5,5.23,5.27,3.0,1141,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.51,5.11,5.14,3.2,1438,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7,5.71,5.74,3.42,2337,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.31,7.0,6.97,4.35,6225,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.4,4.75,4.78,2.96,629,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.53,5.21,5.32,3.21,1219,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.35,4.56,4.58,2.81,598,5,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.05,6.55,6.45,4.02,5557,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7,5.7,5.73,3.47,3092,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.43,4.86,4.9,3.01,987,4,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.56,5.32,5.35,3.25,1580,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,4.43,4.48,2.66,421,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2.16,8.28,8.33,5.18,18678,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.76,5.82,5.86,3.66,2668,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.97,6.56,6.48,3.79,3911,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.08,6.56,6.6,4.11,6561,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.02,6.35,6.4,4.02,3879,6,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.03,6.52,6.47,3.96,4038,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.55,5.28,5.3,3.24,1580,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.51,5.04,5.1,3.2,1444,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2.01,8.03,7.94,5.0,15395,4,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.13,6.63,6.65,4.11,5911,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.3,4.32,4.36,2.66,570,2,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2.1,8.16,8.21,5.03,13340,6,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.42,4.78,4.8,2.99,921,4,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.4,7.12,7.06,4.43,8511,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.2,6.8,6.85,4.15,6077,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.8,6.08,6.05,3.55,2371,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
